id,answer_count,comment_count,creation_date,score,view_count
67781382,0,0,2021-06-01 00:19:45.063 UTC,0,7
67790048,4,0,2021-06-01 13:46:06.643 UTC,0,263
67791256,0,0,2021-06-01 14:57:20.473 UTC,0,8
67795877,1,0,2021-06-01 20:53:44.653 UTC,0,8
67789765,0,0,2021-06-01 13:27:03.893 UTC,0,9
67791701,0,0,2021-06-01 15:24:30.807 UTC,0,9
67794806,0,0,2021-06-01 19:16:19.65 UTC,0,9
67786584,0,0,2021-06-01 09:50:19.693 UTC,0,12
67795224,1,0,2021-06-01 19:52:17.11 UTC,0,13
67787649,0,0,2021-06-01 11:02:43.733 UTC,0,14
67791659,0,0,2021-06-01 15:20:57.933 UTC,0,14
67797384,1,0,2021-06-02 00:06:14.493 UTC,-1,14
67781643,0,0,2021-06-01 01:09:55.583 UTC,0,16
67784084,1,0,2021-06-01 07:00:06.983 UTC,0,17
67786079,0,0,2021-06-01 09:17:00.383 UTC,0,17
67789296,0,0,2021-06-01 12:56:49.577 UTC,0,17
67789803,0,0,2021-06-01 13:29:36.917 UTC,0,17
67789387,1,0,2021-06-01 13:02:42.427 UTC,2,273
67792714,1,0,2021-06-01 16:32:36.543 UTC,1,18
67786843,0,0,2021-06-01 10:07:34.977 UTC,0,19
67786989,1,0,2021-06-01 10:16:15.08 UTC,0,19
67788320,0,0,2021-06-01 11:49:00.5 UTC,0,19
67788878,0,0,2021-06-01 12:28:33.527 UTC,0,19
67796656,0,0,2021-06-01 22:14:31.507 UTC,0,19
67789871,1,0,2021-06-01 13:34:32.233 UTC,0,275
67791756,2,0,2021-06-01 15:27:46.91 UTC,3,3091
67782277,1,0,2021-06-01 03:13:41.233 UTC,0,20
67794629,1,0,2021-06-01 19:02:57.137 UTC,0,20
67799171,0,0,2021-06-02 04:59:41.097 UTC,1,20
67789435,1,0,2021-06-01 13:06:06.703 UTC,1,21
67790865,1,0,2021-06-01 14:36:45.2 UTC,1,21
67794262,0,0,2021-06-01 18:29:04.14 UTC,0,21
67794969,0,0,2021-06-01 19:30:18.063 UTC,0,21
67792356,1,0,2021-06-01 16:05:09.153 UTC,0,22
67795430,0,0,2021-06-01 20:09:32.643 UTC,0,22
67797259,1,0,2021-06-01 23:46:18.723 UTC,0,22
67781469,1,0,2021-06-01 00:37:04.087 UTC,0,23
67794391,1,0,2021-06-01 18:40:09.047 UTC,0,24
67794403,1,0,2021-06-01 18:41:11.423 UTC,0,24
67789508,0,0,2021-06-01 13:11:16.07 UTC,0,25
67791676,0,0,2021-06-01 15:22:37.853 UTC,0,25
67797825,0,0,2021-06-02 01:32:57.537 UTC,0,25
67799110,0,0,2021-06-02 04:52:05.397 UTC,0,25
67783776,0,0,2021-06-01 06:35:43.823 UTC,0,26
67786524,0,0,2021-06-01 09:47:08.553 UTC,0,26
67797047,1,0,2021-06-01 23:06:58.313 UTC,0,26
67791633,1,0,2021-06-01 15:19:35.44 UTC,0,27
67793942,1,0,2021-06-01 18:04:32.4 UTC,0,27
67787527,0,0,2021-06-01 10:53:33.857 UTC,0,28
67792657,0,0,2021-06-01 16:28:23.577 UTC,1,28
67798580,1,0,2021-06-02 03:36:25.563 UTC,0,28
67798775,0,0,2021-06-02 04:06:18.77 UTC,0,29
67781427,1,0,2021-06-01 00:26:56.153 UTC,2,30
