id,answer_count,comment_count,creation_date,score,view_count
67791755,1,0,2021-06-01 15:27:45.6 UTC,0,18
67785427,0,0,2021-06-01 08:34:32.49 UTC,0,36
67790184,1,0,2021-06-01 13:54:54.53 UTC,0,549
67796303,1,0,2021-06-01 21:37:35.48 UTC,0,51
67792924,0,0,2021-06-01 16:48:57.27 UTC,0,145
67782165,2,0,2021-06-01 02:54:39.917 UTC,1,1174
67789078,1,0,2021-06-01 12:42:25.42 UTC,1,1176
67790588,1,0,2021-06-01 14:20:59.017 UTC,1,221
67796151,1,0,2021-06-01 21:21:33.7 UTC,0,236
67784534,0,1,2021-06-01 07:33:32.237 UTC,0,36
67783472,2,1,2021-06-01 06:07:57.297 UTC,1,2854
67787493,0,1,2021-06-01 10:51:24.423 UTC,0,56
67785854,2,1,2021-06-01 09:03:29.93 UTC,0,644
67787528,0,3,2021-06-01 10:53:34.187 UTC,0,63
67786214,1,3,2021-06-01 09:27:23.303 UTC,0,377
67790324,2,3,2021-06-01 14:04:15.897 UTC,0,2037
67794327,4,3,2021-06-01 18:34:45.68 UTC,0,246
67796399,2,4,2021-06-01 21:47:58.787 UTC,0,259
67790008,0,5,2021-06-01 13:43:31.273 UTC,0,55
67785720,0,5,2021-06-01 08:54:26.61 UTC,0,154
68044984,1,0,2021-06-19 08:24:16.69 UTC,1,257
67903528,0,0,2021-06-09 11:47:01.213 UTC,0,9
67894042,1,0,2021-06-08 20:16:31.447 UTC,0,11
68031869,0,0,2021-06-18 08:29:17.387 UTC,0,11
68032550,0,0,2021-06-18 09:19:51.753 UTC,0,12
68123606,0,0,2021-06-24 23:04:52.94 UTC,0,12
67914714,1,0,2021-06-10 04:24:51.263 UTC,0,268
68032450,0,0,2021-06-18 09:12:46.473 UTC,0,14
68132189,0,0,2021-06-25 13:55:13.843 UTC,0,14
67993753,1,0,2021-06-15 21:33:22.287 UTC,0,15
68010797,0,0,2021-06-16 22:37:18.533 UTC,0,15
68083218,1,0,2021-06-22 12:03:50.68 UTC,0,15
68079207,0,0,2021-06-22 07:25:23.02 UTC,0,16
68081272,1,0,2021-06-22 09:46:42.36 UTC,0,16
68138489,0,0,2021-06-26 01:36:32.19 UTC,0,16
67896938,0,0,2021-06-09 02:59:07.007 UTC,0,17
67864160,0,0,2021-06-06 22:24:18.04 UTC,0,18
68068337,1,0,2021-06-21 12:56:28.957 UTC,0,18
68056880,2,0,2021-06-20 14:35:24.677 UTC,6,530
68038008,1,0,2021-06-18 15:42:37.077 UTC,0,19
68053369,1,0,2021-06-20 06:53:19.483 UTC,0,19
67969963,1,0,2021-06-14 12:10:01.283 UTC,0,275
67898892,0,0,2021-06-09 06:46:35.74 UTC,0,20
68044605,1,0,2021-06-19 07:31:23.8 UTC,0,20
68065615,0,0,2021-06-21 09:34:25.07 UTC,1,20
68067182,0,0,2021-06-21 11:30:52.597 UTC,0,20
67841238,1,0,2021-06-04 16:57:53.677 UTC,0,22
67916820,0,0,2021-06-10 07:44:37.02 UTC,0,22
67988834,0,0,2021-06-15 15:04:03.303 UTC,0,22
67930740,0,0,2021-06-11 03:01:06.477 UTC,0,23
67963381,1,0,2021-06-13 23:32:18.08 UTC,1,23
68034680,1,0,2021-06-18 11:51:49.05 UTC,0,24
68100484,1,0,2021-06-23 13:09:24.703 UTC,0,24
68138740,1,0,2021-06-26 02:33:49.34 UTC,0,24
68113929,1,0,2021-06-24 10:22:21.533 UTC,-1,25
68129680,0,0,2021-06-25 10:43:19.14 UTC,0,25
67887083,1,0,2021-06-08 12:36:32.42 UTC,0,281
67873659,1,0,2021-06-07 14:36:50.357 UTC,0,26
67980275,1,0,2021-06-15 05:01:56.587 UTC,0,26
68084362,1,0,2021-06-22 13:22:44.583 UTC,0,26
68031340,0,0,2021-06-18 07:49:28.117 UTC,0,27
68068781,1,0,2021-06-21 13:25:28.09 UTC,0,27
68075234,0,0,2021-06-21 22:02:17.13 UTC,0,27
67940602,1,0,2021-06-11 16:36:12.537 UTC,0,28
68034005,0,0,2021-06-18 11:02:58.933 UTC,0,28
68126032,0,0,2021-06-25 05:43:48.783 UTC,0,28
68131830,1,0,2021-06-25 13:31:16.427 UTC,0,28
68134813,1,0,2021-06-25 17:08:58.607 UTC,0,28
67983127,1,0,2021-06-15 08:57:47.463 UTC,1,796
67901995,1,0,2021-06-09 10:08:16.873 UTC,1,29
68078701,0,0,2021-06-22 06:43:40.233 UTC,2,29
68131725,1,0,2021-06-25 13:23:36.833 UTC,0,29
67949320,1,0,2021-06-12 13:30:01.177 UTC,0,30
67958837,0,0,2021-06-13 13:35:00.723 UTC,0,30
68078605,1,0,2021-06-22 06:34:17.247 UTC,0,30
68131916,0,0,2021-06-25 13:37:30.69 UTC,0,30
67846048,1,0,2021-06-05 03:41:41.723 UTC,0,31
67983000,1,0,2021-06-15 08:49:19.657 UTC,0,31
68140468,0,0,2021-06-26 08:13:38.083 UTC,1,31
68014421,1,0,2021-06-17 07:01:01.077 UTC,1,32
68020518,1,0,2021-06-17 13:37:27.95 UTC,0,32
68140166,1,0,2021-06-26 07:27:01.517 UTC,0,32
67943078,1,0,2021-06-11 20:18:17.897 UTC,1,2080
67801873,1,0,2021-06-02 08:49:10.093 UTC,0,33
67933242,2,0,2021-06-11 07:54:18.377 UTC,0,33
68102793,1,0,2021-06-23 15:25:53.503 UTC,0,33
67913958,2,0,2021-06-10 02:45:17.747 UTC,0,34
67857454,0,0,2021-06-06 09:06:24.563 UTC,0,35
68016223,1,0,2021-06-17 09:05:06.627 UTC,1,35
68037826,0,0,2021-06-18 15:29:01.757 UTC,0,35
67839785,2,0,2021-06-04 15:17:39.937 UTC,0,36
68099065,1,0,2021-06-23 11:36:05.337 UTC,0,36
67810379,0,0,2021-06-02 18:08:44.053 UTC,0,37
68051480,2,0,2021-06-19 23:23:14.64 UTC,1,37
68086489,0,0,2021-06-22 15:29:21.113 UTC,0,37
67918604,1,0,2021-06-10 09:38:59.953 UTC,1,38
68103215,1,0,2021-06-23 15:50:02.887 UTC,1,38
67887491,2,0,2021-06-08 13:00:33.367 UTC,0,294
67811457,1,0,2021-06-02 19:36:39.55 UTC,2,39
67961096,1,0,2021-06-13 17:44:28.373 UTC,0,39
67976837,1,0,2021-06-14 20:30:44.413 UTC,0,39
67821770,1,0,2021-06-03 12:48:10.947 UTC,0,40
67856033,1,0,2021-06-06 05:28:59.487 UTC,0,40
67951915,1,0,2021-06-12 18:34:47.187 UTC,0,40
67944867,1,0,2021-06-12 01:17:51.73 UTC,3,41
67998877,1,0,2021-06-16 08:17:37.273 UTC,0,41
67914537,1,0,2021-06-10 04:00:35.58 UTC,0,42
67982599,1,0,2021-06-15 08:21:37.487 UTC,1,42
67999787,1,0,2021-06-16 09:18:00.423 UTC,0,42
68086018,1,0,2021-06-22 15:01:16.07 UTC,0,43
67950230,1,0,2021-06-12 15:18:54.693 UTC,0,299
67958212,0,0,2021-06-13 12:24:39.257 UTC,0,45
68066674,1,0,2021-06-21 10:55:28.183 UTC,0,45
68130495,4,0,2021-06-25 11:45:45.803 UTC,2,302
68079113,1,0,2021-06-22 07:18:38.603 UTC,0,47
67842050,1,0,2021-06-04 18:04:49.08 UTC,1,48
67892577,1,0,2021-06-08 18:19:02.367 UTC,2,48
68110585,1,0,2021-06-24 06:27:21.957 UTC,2,304
67822005,0,0,2021-06-03 13:03:39.28 UTC,0,49
67855545,2,0,2021-06-06 03:27:05.617 UTC,0,50
67962410,1,0,2021-06-13 20:28:02.567 UTC,0,50
68082155,1,0,2021-06-22 10:46:57.183 UTC,0,50
67959931,0,0,2021-06-13 15:30:51.777 UTC,0,51
68052217,1,0,2021-06-20 02:36:04.907 UTC,2,51
68128360,1,0,2021-06-25 09:06:22.513 UTC,0,51
68029023,0,0,2021-06-18 03:42:18.287 UTC,0,52
67892134,1,0,2021-06-08 17:47:44.877 UTC,3,564
67987624,2,0,2021-06-15 13:52:07.377 UTC,0,820
67853660,2,0,2021-06-05 20:26:53.313 UTC,2,53
67824849,1,0,2021-06-03 15:58:01.987 UTC,1,54
67954809,1,0,2021-06-13 04:17:43.817 UTC,0,54
68008910,3,0,2021-06-16 19:26:10.947 UTC,0,54
68019359,1,0,2021-06-17 12:28:33.5 UTC,0,54
68107419,1,0,2021-06-23 21:52:57.857 UTC,1,54
68114157,2,0,2021-06-24 10:37:25.167 UTC,0,55
67806831,1,0,2021-06-02 14:10:36.553 UTC,0,567
67967262,1,0,2021-06-14 08:45:08.4 UTC,0,56
67998775,0,0,2021-06-16 08:10:00.027 UTC,2,312
67870617,1,0,2021-06-07 11:16:08.65 UTC,0,57
67995449,1,0,2021-06-16 01:58:50.517 UTC,0,57
67830365,1,0,2021-06-04 01:22:28.68 UTC,0,58
67898819,0,0,2021-06-09 06:39:49.13 UTC,0,58
67994591,1,0,2021-06-15 23:27:55.237 UTC,1,58
68118532,1,0,2021-06-24 15:20:46.733 UTC,0,58
68140722,0,0,2021-06-26 08:50:02.827 UTC,0,60
68134376,1,0,2021-06-25 16:34:30.793 UTC,0,62
67885526,2,0,2021-06-08 10:39:46.343 UTC,5,575
67953838,1,0,2021-06-13 00:01:28.553 UTC,0,64
68078027,1,0,2021-06-22 05:33:10.7 UTC,0,64
67836880,1,0,2021-06-04 12:02:28.877 UTC,0,65
67960326,1,0,2021-06-13 16:16:56.47 UTC,0,65
68093216,0,0,2021-06-23 03:35:01.293 UTC,1,67
67839658,0,0,2021-06-04 15:09:53.713 UTC,0,71
68020886,0,0,2021-06-17 13:58:33.857 UTC,0,71
67938014,0,0,2021-06-11 13:36:34.113 UTC,0,72
67841677,1,0,2021-06-04 17:33:36.217 UTC,3,1353
68117966,1,0,2021-06-24 14:45:10.63 UTC,0,74
67998162,0,0,2021-06-16 07:25:30.43 UTC,0,75
67825322,1,0,2021-06-03 16:30:59.63 UTC,0,76
68020475,0,0,2021-06-17 13:34:35.277 UTC,0,76
67804170,1,0,2021-06-02 11:23:22.42 UTC,0,334
68091430,3,0,2021-06-22 22:36:44.1 UTC,0,81
67927352,1,0,2021-06-10 19:26:26.413 UTC,2,594
68126445,3,0,2021-06-25 06:29:50.1 UTC,1,85
67985485,0,0,2021-06-15 11:36:07.17 UTC,0,86
67950052,0,0,2021-06-12 14:59:55.333 UTC,0,87
68090209,1,0,2021-06-22 20:14:19.81 UTC,0,87
67853937,2,0,2021-06-05 21:04:27.11 UTC,0,88
68031168,0,0,2021-06-18 07:36:43.563 UTC,1,88
68118523,1,0,2021-06-24 15:20:28.96 UTC,1,89
68116863,1,0,2021-06-24 13:36:57.08 UTC,1,90
67979371,3,0,2021-06-15 02:49:37.627 UTC,0,91
67907149,1,0,2021-06-09 15:22:29.753 UTC,0,93
67918900,2,0,2021-06-10 09:58:30.853 UTC,0,95
67920968,1,0,2021-06-10 12:18:21.597 UTC,0,97
68128940,0,0,2021-06-25 09:44:11.117 UTC,1,353
67860032,1,0,2021-06-06 14:12:03.153 UTC,2,98
68059206,1,0,2021-06-20 19:08:09.027 UTC,0,99
67922415,1,0,2021-06-10 13:43:16.463 UTC,1,355
68131064,0,0,2021-06-25 12:33:17.687 UTC,0,100
67932013,1,0,2021-06-11 06:09:24.933 UTC,0,101
68060564,1,0,2021-06-20 22:38:48.3 UTC,0,101
67834953,1,0,2021-06-04 09:35:44.197 UTC,0,614
67861747,1,0,2021-06-06 17:13:40.613 UTC,-1,105
67805134,1,0,2021-06-02 12:29:55.813 UTC,1,107
68038832,0,0,2021-06-18 16:48:20.843 UTC,1,107
67823122,2,0,2021-06-03 14:14:27.267 UTC,2,365
68059394,0,0,2021-06-20 19:31:14.807 UTC,0,112
67919913,1,0,2021-06-10 11:07:53.283 UTC,0,113
68035476,0,0,2021-06-18 12:51:07.207 UTC,0,113
67858236,1,0,2021-06-06 10:46:16.49 UTC,1,114
68059040,1,0,2021-06-20 18:43:40.76 UTC,1,116
68058691,1,0,2021-06-20 18:03:40.893 UTC,0,117
67837804,1,0,2021-06-04 13:08:47.873 UTC,1,118
68127140,1,0,2021-06-25 07:30:23.507 UTC,0,118
67896043,2,0,2021-06-09 00:31:09.173 UTC,1,1142
